member_id,name,rep_type,rep_detail,building_code,floor,room
L090,"Violago, Mark Cholo I.",District Representative,"Bulacan, 3rd District",SW,5,SW-515
K138,"Yamsuan, Brian Raymund S.",District Representative,"Parañaque City, 2nd District",RVM,4,RVM-422
G101,"Yap, Arthur C.",Party-list Representative,MURANG KURYENTE,SW,3,SW-315
K096,"Yap, Christopherson ""Coco"" M.",District Representative,"Southern Leyte, 2nd District",SW,4,SW-416
K101,"Yap, Edvic G.",Party-list Representative,ACT-CIS,SW,3,SW-313
J118,"Yap, Eric Go",District Representative,"Benguet, Lone District",MB,,MB-S 324
L091,"Yap, John Geesnell ""Baba""",District Representative,"Bohol, 1st District",NW,2,NW-205
L021,"Yatco, Florabel C.",Party-list Representative,NANAY,SW,4,SW-411
L092,"Ynares, Rebecca Maria Alcantara",District Representative,"Rizal, 1st District",NW,3,NW-318
K097,"Yu, Jeyzel Victoria C.",District Representative,"Zamboanga del Sur, 2nd District",SWA,4,SWA-422
L093,"Yu, Joseph Kim C.",District Representative,"Zamboanga del Sur, 1st District",SWA,3,SWA-303
K098,"Yulo, Emilio Bernardino L.",District Representative,"Negros Occidental, 5th District",NW,4,NW-417
H084,"Zamora, Maria Carmen S.",District Representative,"Davao de Oro, 1st District",MB,,MB-S 307
K099,"Zamora, Ysabel Maria J.",District Representative,"San Juan City, Lone District",SWA,4,SWA-413
L094,"Zubiri, Audrey Kay T.",District Representative,"Bukidnon, 3rd District",RVM,4,RVM-409
G030,"de Venecia, Ma. Georgina P.",District Representative,"Pangasinan, 4th District",SW,1,SW-104
