member_id,name,rep_type,rep_detail,building_code,floor,room
F055,"Nava, JC Rahman A., MD.",District Representative,"Guimaras, Lone District",RVM,4,RVM-408
L063,"Nazal, Robert",Party-list Representative,BH,NW,2,NW-213
K135,"Nisay, Jernie Jett V.",Party-list Representative,PUSONG PINOY,RVM,2,RVM-205
I045,"Nolasco, Ramon C.",District Representative,"Cagayan, 1st District",NW,3,NW-303
L064,"Oaminal, Henry ""Indy"" Jr. F.",Party-list Representative,ASENSO PINOY,NW,1,NW-101
K056,"Oaminal, Sancho Fernando ""Ando"" F.",District Representative,"Misamis Occidental, 2nd District",NW,5,NW-506
L065,"Oducado, Nathaniel M.",Party-list Representative,1TAHANAN,NW,2,NW-217
H046,"Olivarez, Eric L.",District Representative,"Parañaque City, 1st District",SW,5,SW-503
I047,"Ongchuan, Edwin",District Representative,"Northern Samar, 2nd District",NW,1,NW-118
J127,"Ordanes, Rodolfo ""Ompong"" M.",Party-list Representative,SENIOR CITIZENS,SW,1,SW-109
L066,"Oreta, Antolin III A.",District Representative,"Malabon City, Lone District",RVM,4,RVM-410
K059,"Ortega, Francisco Paolo V P.",District Representative,"La Union, 1st District",NW,2,NW-203
J055,"Ouano-Dizon, Emmarie ""Lolypop""",District Representative,"Mandaue City, Lone District",NW,6,NW-606
L067,"Padiernos, Jan ""Atty. JP""",Party-list Representative,GP (GALING SA PUSO),RVM,4,RVM-412
K062,"Panaligan, Arnan C.",District Representative,"Oriental Mindoro, 1st District",RVM,1,RVM-111
K063,"Pancho, Agustina Dominique ""Ditse Tina"" C.",District Representative,"Bulacan, 2nd District",SW,2,SW-210
K064,"Panotes, Rosemarie Conejos",District Representative,"Camarines Norte, 2nd District",NW,6,NW-608
K065,"Pascual, Emerson D.",District Representative,"Nueva Ecija, 4th District",NW,2,NW-204
L095,"Perez, Jerry Evangelista",District Representative,"Zamboanga City, 2nd District",RVM,4,RVM-426
L068,"Pimentel, Alexander Ty",District Representative,"Surigao del Sur, 2nd District",SWA,4,SWA-405
J057,"Plaza, Eddiebong G.",District Representative,"Agusan del Sur, 2nd District",RVM,4,RVM-428
K066,"Pleyto, Salvador A.",District Representative,"Bulacan, 6th District",SWA,3,SWA-307
L055,"Poe, Brian",Party-list Representative,FPJ PANDAY BAYANIHAN,NW,2,NW-208
G072,"Primicias-Agabas, Marlyn L.",District Representative,"Pangasinan, 6th District",NW,5,NW-505
K067,"Pumaren, Franz S.",District Representative,"Quezon City, 3rd District",NW,2,NW-207
E052,"Puno, Ronaldo V.",District Representative,"Antipolo City, 1st District",SWA,3,SWA-314
G073,"Quimbo, Atty. Miro S.",District Representative,"Marikina City, 2nd District",NW,3,NW-309
K068,"Rama, Eduardo Jr. R.",District Representative,"Cebu City, 2nd District",SWA,4,SWA-418
L078,"Recto, Ryan S.",District Representative,"Batangas, 6th District",SWA,3,SWA-317
K069,"Regencia, Celso G.",District Representative,"Iligan City, Lone District",SW,3,SW-310
K139,"Remulla, Crispin Diego D.",District Representative,"Cavite, 7th District",MB,,MB-S 321
K110,"Revilla, Bryan B.",Party-list Representative,AGIMAT,NW,2,NW-209
K070,"Revilla, Ramon Jolo III B.",District Representative,"Cavite, 1st District",SW,1,SW-113
H072,"Ridon, Terry L.",Party-list Representative,BICOL SARO,RVM,4,RVM-419
K072,"Rivera, Noel ""Bong"" N.",District Representative,"Tarlac, 3rd District",NW,4,NW-405
F056,"Robes, Arturo B.",District Representative,"San Jose Del Monte City, Lone District",NW,5,NW-513
K073,"Rodriguez, Eulogio ""Leo"" R.",District Representative,"Catanduanes, Lone District",RVM,4,RVM-424
G079,"Rodriguez, Maximo  Jr. B.",Party-list Representative,ABAMIN,SW,1,SW-105
F057,"Rodriguez, Rufus B.",District Representative,"Cagayan de Oro City, 2nd District",MB,,MB-S 329
